inventory_id,actor,alias,category,svg_file,gif_file,preview_file,pixel_count
INV-1785654343599-2,BLUE,IDF／F-CK-1「經國號」,aviation,svg/blue_idf_fck1.svg,gif/blue_idf_fck1.gif,preview_8x/blue_idf_fck1.png,86
INV-1785654343599-3,BLUE,Mirage 2000-5「幻象2000-5」,aviation,svg/blue_mirage_2000_5.svg,gif/blue_mirage_2000_5.gif,preview_8x/blue_mirage_2000_5.png,90
INV-1785654343599-36,BLUE,聯合作戰基地,base,svg/blue_joint_operations_base.svg,gif/blue_joint_operations_base.gif,preview_8x/blue_joint_operations_base.png,114
INV-1785654343599-5,BLUE,E-2K「鷹眼預警機」,isr,svg/blue_e2k_hawkeye.svg,gif/blue_e2k_hawkeye.gif,preview_8x/blue_e2k_hawkeye.png,88
INV-1785654343599-4,BLUE,C-130H「力士型運輸機」,logistics,svg/blue_c130h.svg,gif/blue_c130h.gif,preview_8x/blue_c130h.png,96
INV-1785654343599-10,BLUE,萬劍飛彈,longRange,svg/blue_wan_chien.svg,gif/blue_wan_chien.gif,preview_8x/blue_wan_chien.png,64
INV-1785654343599-11,BLUE,雷霆2000多管火箭系統,longRange,svg/blue_thunderbolt_2000.svg,gif/blue_thunderbolt_2000.gif,preview_8x/blue_thunderbolt_2000.png,103
INV-1785654343599-7,BLUE,雄風三型超音速反艦飛彈,maritime,svg/blue_hsiung_feng_iii.svg,gif/blue_hsiung_feng_iii.gif,preview_8x/blue_hsiung_feng_iii.png,80
INV-1785654343599-38,BLUE,機動防禦陣地,position,svg/blue_mobile_defense_position.svg,gif/blue_mobile_defense_position.gif,preview_8x/blue_mobile_defense_position.png,87
INV-1785654343599-37,BLUE,備援電力節點,powerPlant,svg/blue_backup_power_node.svg,gif/blue_backup_power_node.gif,preview_8x/blue_backup_power_node.png,71
INV-1785654343599-35,BLUE,區域預警雷達站,radarStation,svg/blue_regional_early_warning_radar.svg,gif/blue_regional_early_warning_radar.gif,preview_8x/blue_regional_early_warning_radar.png,72
INV-1785654343599-6,BLUE,P-3C「獵戶座反潛巡邏機」,subsurface,svg/blue_p3c_orion.svg,gif/blue_p3c_orion.gif,preview_8x/blue_p3c_orion.png,100
INV-1785654343599-39,RED,沿岸航空基地群,airport,svg/red_coastal_airbase_group.svg,gif/red_coastal_airbase_group.gif,preview_8x/red_coastal_airbase_group.png,60
INV-1785654343599-14,RED,殲-10C戰鬥機／J-10C,aviation,svg/red_j10c.svg,gif/red_j10c.gif,preview_8x/red_j10c.png,86
INV-1785654343599-13,RED,殲-16戰鬥機／J-16,aviation,svg/red_j16.svg,gif/red_j16.gif,preview_8x/red_j16.png,106
INV-1785654343599-12,RED,殲-20戰鬥機／J-20,aviation,svg/red_j20.svg,gif/red_j20.gif,preview_8x/red_j20.png,104
INV-1785654343599-41,RED,聯合指揮基地,base,svg/red_joint_command_base.svg,gif/red_joint_command_base.gif,preview_8x/red_joint_command_base.png,128
INV-1785654343599-16,RED,空警-500預警機／KJ-500,isr,svg/red_kj500.svg,gif/red_kj500.gif,preview_8x/red_kj500.png,100
INV-1785654343599-17,RED,運-20運輸機／Y-20,logistics,svg/red_y20.svg,gif/red_y20.gif,preview_8x/red_y20.png,114
INV-1785654343599-21,RED,東風-17常規導彈／DF-17,longRange,svg/red_df17.svg,gif/red_df17.gif,preview_8x/red_df17.png,66
INV-1785654343599-22,RED,東風-26型導彈／DF-26,longRange,svg/red_df26.svg,gif/red_df26.gif,preview_8x/red_df26.png,80
INV-1785654343599-15,RED,轟-6K轟炸機／H-6K,longRange,svg/red_h6k.svg,gif/red_h6k.gif,preview_8x/red_h6k.png,100
INV-1785654343599-19,RED,052D型導彈驅逐艦,maritime,svg/red_type_052d_destroyer.svg,gif/red_type_052d_destroyer.gif,preview_8x/red_type_052d_destroyer.png,93
INV-1785654343599-18,RED,055型導彈驅逐艦,maritime,svg/red_type_055_destroyer.svg,gif/red_type_055_destroyer.gif,preview_8x/red_type_055_destroyer.png,103
INV-1785654343599-20,RED,075型兩棲攻擊艦,maritime,svg/red_type_075_lhd.svg,gif/red_type_075_lhd.gif,preview_8x/red_type_075_lhd.png,117
INV-1785654343599-43,RED,沿岸防護陣地,position,svg/red_coastal_defense_position.svg,gif/red_coastal_defense_position.gif,preview_8x/red_coastal_defense_position.png,105
INV-1785654343599-42,RED,區域電力保障節點,powerPlant,svg/red_regional_power_node.svg,gif/red_regional_power_node.gif,preview_8x/red_regional_power_node.png,86
INV-1785654343599-40,RED,沿岸遠程雷達站,radarStation,svg/red_coastal_long_range_radar.svg,gif/red_coastal_long_range_radar.gif,preview_8x/red_coastal_long_range_radar.png,72
