inventory_id,actor,alias,category,nominal,availability_pct,reserve_pct,consumption_per_action,recovery_per_turn,replenishment,delay_turns,reliability_pct,unit_effect,game_range_km,location_required,placement_id,placement_label,lat,lng,placement_nominal,placement_current,preset_id,source_url,source_checked_at,precision,is_live,is_user_modified,note
INV-1785654343599-8,BLUE,天劍二型空對空飛彈／TC-2,airDefense,68,86,28,8,1,12,4,89,77,160,True,INV-1785654343599-8-P1,北部區域遊戲推定點,25.033,121.5654,23.0,23.0,BLUE-TAIPEI,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,空中攔截資源；參數為遊戲平衡值
INV-1785654343599-8,BLUE,天劍二型空對空飛彈／TC-2,airDefense,68,86,28,8,1,12,4,89,77,160,True,INV-1785654343599-8-P2,中部區域遊戲推定點,24.1477,120.6736,23.0,23.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,空中攔截資源；參數為遊戲平衡值
INV-1785654343599-8,BLUE,天劍二型空對空飛彈／TC-2,airDefense,68,86,28,8,1,12,4,89,77,160,True,INV-1785654343599-8-P3,南部區域遊戲推定點,22.6273,120.3014,22.0,22.0,BLUE-KAOHSIUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,空中攔截資源；參數為遊戲平衡值
INV-1785654343599-9,BLUE,天弓三型防空飛彈,airDefense,54,90,35,7,1,10,5,92,81,160,True,INV-1785654343599-9-P1,北部區域遊戲推定點,25.033,121.5654,18.0,18.0,BLUE-TAIPEI,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,區域防空資源；參數為遊戲平衡值
INV-1785654343599-9,BLUE,天弓三型防空飛彈,airDefense,54,90,35,7,1,10,5,92,81,160,True,INV-1785654343599-9-P2,中部區域遊戲推定點,24.1477,120.6736,18.0,18.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,區域防空資源；參數為遊戲平衡值
INV-1785654343599-9,BLUE,天弓三型防空飛彈,airDefense,54,90,35,7,1,10,5,92,81,160,True,INV-1785654343599-9-P3,南部區域遊戲推定點,22.6273,120.3014,18.0,18.0,BLUE-KAOHSIUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,區域防空資源；參數為遊戲平衡值
INV-1785654343599-10,BLUE,萬劍飛彈,longRange,30,82,35,5,1,6,6,88,83,700,True,INV-1785654343599-10-P1,中部區域遊戲推定點,24.1477,120.6736,15.0,15.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-10,BLUE,萬劍飛彈,longRange,30,82,35,5,1,6,6,88,83,700,True,INV-1785654343599-10-P2,南部區域遊戲推定點,22.6273,120.3014,15.0,15.0,BLUE-KAOHSIUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-11,BLUE,雷霆2000多管火箭系統,longRange,36,84,25,5,2,8,3,90,83,700,True,INV-1785654343599-11-P1,中部區域遊戲推定點,24.1477,120.6736,18.0,18.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,地面火力支援；參數為遊戲平衡值
INV-1785654343599-11,BLUE,雷霆2000多管火箭系統,longRange,36,84,25,5,2,8,3,90,83,700,True,INV-1785654343599-11-P2,南部區域遊戲推定點,22.6273,120.3014,18.0,18.0,BLUE-KAOHSIUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,地面火力支援；參數為遊戲平衡值
INV-1785654343599-12,RED,殲-20戰鬥機／J-20,aviation,32,84,28,5,2,6,5,90,74,600,True,INV-1785654343599-12-P1,寧波櫟社國際機場（公開設施中心點）,29.8267,121.4619,32.0,32.0,RED-NINGBO-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,先進航空任務；參數為遊戲平衡值
INV-1785654343599-13,RED,殲-16戰鬥機／J-16,aviation,52,82,20,6,2,9,4,88,78,600,True,INV-1785654343599-13-P1,福州長樂國際機場（公開設施中心點）,25.9351,119.6633,26.0,26.0,RED-FUZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,多用途航空任務；參數為遊戲平衡值
INV-1785654343599-13,RED,殲-16戰鬥機／J-16,aviation,52,82,20,6,2,9,4,88,78,600,True,INV-1785654343599-13-P2,寧波櫟社國際機場（公開設施中心點）,29.8267,121.4619,26.0,26.0,RED-NINGBO-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,多用途航空任務；參數為遊戲平衡值
INV-1785654343599-14,RED,殲-10C戰鬥機／J-10C,aviation,58,80,18,6,3,10,3,87,82,600,True,INV-1785654343599-14-P1,廈門高崎國際機場（公開設施中心點）,24.544,118.1277,29.0,29.0,RED-XIAMEN-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,航空攔截任務；參數為遊戲平衡值
INV-1785654343599-14,RED,殲-10C戰鬥機／J-10C,aviation,58,80,18,6,3,10,3,87,82,600,True,INV-1785654343599-14-P2,泉州晉江機場（公開設施中心點）,24.7964,118.589,29.0,29.0,RED-QUANZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,航空攔截任務；參數為遊戲平衡值
INV-1785654343599-15,RED,轟-6K轟炸機／H-6K,longRange,24,76,35,5,1,4,6,86,84,700,True,INV-1785654343599-15-P1,福州長樂國際機場（公開設施中心點）,25.9351,119.6633,12.0,12.0,RED-FUZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,遠程航空任務；參數為遊戲平衡值
INV-1785654343599-15,RED,轟-6K轟炸機／H-6K,longRange,24,76,35,5,1,4,6,86,84,700,True,INV-1785654343599-15-P2,廈門高崎國際機場（公開設施中心點）,24.544,118.1277,12.0,12.0,RED-XIAMEN-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,遠程航空任務；參數為遊戲平衡值
INV-1785654343599-16,RED,空警-500預警機／KJ-500,isr,18,84,32,2,1,3,5,91,78,500,True,INV-1785654343599-16-P1,福州長樂國際機場（公開設施中心點）,25.9351,119.6633,9.0,9.0,RED-FUZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,空中預警與感測；參數為遊戲平衡值
INV-1785654343599-16,RED,空警-500預警機／KJ-500,isr,18,84,32,2,1,3,5,91,78,500,True,INV-1785654343599-16-P2,廈門高崎國際機場（公開設施中心點）,24.544,118.1277,9.0,9.0,RED-XIAMEN-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,空中預警與感測；參數為遊戲平衡值
INV-1785654343599-17,RED,運-20運輸機／Y-20,logistics,24,79,26,3,2,5,4,88,64,250,True,INV-1785654343599-17-P1,福州長樂國際機場（公開設施中心點）,25.9351,119.6633,12.0,12.0,RED-FUZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,空運與補給支援；參數為遊戲平衡值
INV-1785654343599-17,RED,運-20運輸機／Y-20,logistics,24,79,26,3,2,5,4,88,64,250,True,INV-1785654343599-17-P2,廈門高崎國際機場（公開設施中心點）,24.544,118.1277,12.0,12.0,RED-XIAMEN-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,空運與補給支援；參數為遊戲平衡值
INV-1785654343599-18,RED,055型導彈驅逐艦,maritime,16,82,30,3,1,3,6,90,74,300,True,INV-1785654343599-18-P1,寧波舟山公開港區中心點,29.8683,121.544,8.0,8.0,RED-NINGBO-PORT,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,大型水面艦任務；參數為遊戲平衡值
INV-1785654343599-18,RED,055型導彈驅逐艦,maritime,16,82,30,3,1,3,6,90,74,300,True,INV-1785654343599-18-P2,廈門公開港區中心點,24.473,118.08,8.0,8.0,RED-XIAMEN-PORT,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,大型水面艦任務；參數為遊戲平衡值
INV-1785654343599-19,RED,052D型導彈驅逐艦,maritime,28,81,24,4,1,5,4,88,73,300,True,INV-1785654343599-19-P1,寧波舟山公開港區中心點,29.8683,121.544,14.0,14.0,RED-NINGBO-PORT,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,水面護航任務；參數為遊戲平衡值
INV-1785654343599-19,RED,052D型導彈驅逐艦,maritime,28,81,24,4,1,5,4,88,73,300,True,INV-1785654343599-19-P2,廈門公開港區中心點,24.473,118.08,14.0,14.0,RED-XIAMEN-PORT,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,水面護航任務；參數為遊戲平衡值
INV-1785654343599-20,RED,075型兩棲攻擊艦,maritime,12,75,38,3,1,2,7,86,72,300,True,INV-1785654343599-20-P1,廈門公開港區中心點,24.473,118.08,12.0,12.0,RED-XIAMEN-PORT,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,兩棲支援任務；參數為遊戲平衡值
INV-1785654343599-21,RED,東風-17常規導彈／DF-17,longRange,56,85,30,7,1,10,5,90,84,700,True,INV-1785654343599-21-P1,福州區域遊戲推定點,26.0745,119.2965,19.0,19.0,RED-FUZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-21,RED,東風-17常規導彈／DF-17,longRange,56,85,30,7,1,10,5,90,84,700,True,INV-1785654343599-21-P2,廈門區域遊戲推定點,24.4798,118.0894,19.0,19.0,RED-XIAMEN-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-21,RED,東風-17常規導彈／DF-17,longRange,56,85,30,7,1,10,5,90,84,700,True,INV-1785654343599-21-P3,溫州區域遊戲推定點,27.9938,120.6994,18.0,18.0,RED-WENZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-22,RED,東風-26型導彈／DF-26,longRange,44,83,38,7,1,8,7,89,75,700,True,INV-1785654343599-22-P1,福州區域遊戲推定點,26.0745,119.2965,16.0,16.0,RED-FUZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,戰略火力敘事標籤；參數為遊戲平衡值
INV-1785654343599-22,RED,東風-26型導彈／DF-26,longRange,44,83,38,7,1,8,7,89,75,700,True,INV-1785654343599-22-P2,廈門區域遊戲推定點,24.4798,118.0894,14.0,14.0,RED-XIAMEN-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,戰略火力敘事標籤；參數為遊戲平衡值
INV-1785654343599-22,RED,東風-26型導彈／DF-26,longRange,44,83,38,7,1,8,7,89,75,700,True,INV-1785654343599-22-P3,溫州區域遊戲推定點,27.9938,120.6994,14.0,14.0,RED-WENZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,戰略火力敘事標籤；參數為遊戲平衡值
INV-1785654343599-23,AMBER,F-35A Lightning II「閃電II」,aviation,36,86,30,5,2,6,5,92,79,600,True,INV-1785654343599-23-P1,Misawa Air Base（公開設施中心點）,40.7032,141.3684,36.0,36.0,AMBER-MISAWA,https://www.af.mil/News/Article-Display/Article/4447093/f-35a-lightning-iis-arrive-at-misawa-air-base/,2026-08-01,facility-centroid,False,False,先進航空支援；參數為遊戲平衡值
INV-1785654343599-24,AMBER,F/A-18E/F Super Hornet「超級大黃蜂」,aviation,48,83,24,6,2,8,4,90,82,600,True,INV-1785654343599-24-P1,MCAS Iwakuni（公開設施中心點）,34.1439,132.2358,48.0,48.0,AMBER-IWAKUNI,https://www.mcasiwakuni.marines.mil/,2026-08-01,facility-centroid,False,False,艦載航空支援；參數為遊戲平衡值
INV-1785654343599-25,AMBER,E-2D Advanced Hawkeye,isr,14,88,38,2,1,2,5,93,71,500,True,INV-1785654343599-25-P1,MCAS Iwakuni（公開設施中心點）,34.1439,132.2358,14.0,14.0,AMBER-IWAKUNI,https://www.mcasiwakuni.marines.mil/,2026-08-01,facility-centroid,False,False,空中預警支援；參數為遊戲平衡值
INV-1785654343599-26,AMBER,P-8A Poseidon「海神」,subsurface,20,84,30,3,1,4,4,91,76,250,True,INV-1785654343599-26-P1,Kadena Air Base（公開設施中心點）,26.3556,127.7676,20.0,20.0,AMBER-KADENA,https://www.kadena.af.mil/,2026-08-01,facility-centroid,False,False,海上巡邏與水下警戒；參數為遊戲平衡值
INV-1785654343599-27,AMBER,KC-46A Pegasus「飛馬」,logistics,18,80,34,3,2,4,5,89,63,250,True,INV-1785654343599-27-P1,Yokota Air Base（公開設施中心點）,35.7485,139.3485,18.0,18.0,AMBER-YOKOTA,https://www.yokota.af.mil/,2026-08-01,facility-centroid,False,False,空中加油支援；參數為遊戲平衡值
INV-1785654343599-28,AMBER,C-17 Globemaster III,logistics,16,82,32,3,2,4,5,91,64,250,True,INV-1785654343599-28-P1,Yokota Air Base（公開設施中心點）,35.7485,139.3485,16.0,16.0,AMBER-YOKOTA,https://www.yokota.af.mil/,2026-08-01,facility-centroid,False,False,戰略空運支援；參數為遊戲平衡值
INV-1785654343599-29,AMBER,Arleigh Burke級導彈驅逐艦,maritime,24,86,32,4,1,4,5,92,77,300,True,INV-1785654343599-29-P1,Yokosuka 公開港區中心點,35.2839,139.6715,12.0,12.0,AMBER-YOKOSUKA,https://www.surfpac.navy.mil/ddg88/Welcome-Aboard/,2026-08-01,facility-centroid,False,False,艦隊護航支援；參數為遊戲平衡值
INV-1785654343599-29,AMBER,Arleigh Burke級導彈驅逐艦,maritime,24,86,32,4,1,4,5,92,77,300,True,INV-1785654343599-29-P2,Sasebo 公開港區中心點,33.1596,129.7228,12.0,12.0,AMBER-SASEBO,https://www.navsea.navy.mil/Home/RMC/SRF-JRMC/,2026-08-01,facility-centroid,False,False,艦隊護航支援；參數為遊戲平衡值
INV-1785654343599-30,AMBER,Virginia級攻擊核潛艦,subsurface,14,88,40,3,1,2,7,93,78,250,True,INV-1785654343599-30-P1,Sasebo 公開港區中心點,33.1596,129.7228,14.0,14.0,AMBER-SASEBO,https://www.navsea.navy.mil/Home/RMC/SRF-JRMC/,2026-08-01,facility-centroid,False,False,水下警戒支援；參數為遊戲平衡值
INV-1785654343599-31,AMBER,SM-6標準六型飛彈,airDefense,72,89,36,8,1,12,6,93,83,160,True,INV-1785654343599-31-P1,Yokosuka 公開港區中心點,35.2839,139.6715,36.0,36.0,AMBER-YOKOSUKA,https://www.surfpac.navy.mil/ddg88/Welcome-Aboard/,2026-08-01,facility-centroid,False,False,艦隊防空資源；參數為遊戲平衡值
INV-1785654343599-31,AMBER,SM-6標準六型飛彈,airDefense,72,89,36,8,1,12,6,93,83,160,True,INV-1785654343599-31-P2,Sasebo 公開港區中心點,33.1596,129.7228,36.0,36.0,AMBER-SASEBO,https://www.navsea.navy.mil/Home/RMC/SRF-JRMC/,2026-08-01,facility-centroid,False,False,艦隊防空資源；參數為遊戲平衡值
INV-1785654343599-32,AMBER,Tomahawk「戰斧」巡弋飛彈,longRange,44,86,38,6,1,8,7,91,78,700,True,INV-1785654343599-32-P1,Yokosuka 公開港區中心點,35.2839,139.6715,22.0,22.0,AMBER-YOKOSUKA,https://www.surfpac.navy.mil/ddg88/Welcome-Aboard/,2026-08-01,facility-centroid,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-32,AMBER,Tomahawk「戰斧」巡弋飛彈,longRange,44,86,38,6,1,8,7,91,78,700,True,INV-1785654343599-32-P2,Sasebo 公開港區中心點,33.1596,129.7228,22.0,22.0,AMBER-SASEBO,https://www.navsea.navy.mil/Home/RMC/SRF-JRMC/,2026-08-01,facility-centroid,False,False,遠程火力資源；參數為遊戲平衡值
INV-1785654343599-33,AMBER,Starlink商用衛星通訊支援,communications,32,90,22,3,2,6,3,92,76,800,False,,,,,,,,,,,False,False,備援通訊節點；參數為遊戲平衡值
INV-1785654343599-34,BLUE,北部航空基地群,airport,6,84,16,1,1,1,5,89,69,200,True,INV-1785654343599-34-P1,新竹航空基地（公開設施中心點）,24.818,120.9394,2.0,2.0,BLUE-HSINCHU,https://www.mnd.gov.tw/File/41892,2026-08-01,facility-centroid,False,False,機場與跑道節點；預設遊戲參數
INV-1785654343599-34,BLUE,北部航空基地群,airport,6,84,16,1,1,1,5,89,69,200,True,INV-1785654343599-34-P2,花蓮航空基地（公開設施中心點）,24.0237,121.6169,2.0,2.0,BLUE-HUALIEN,https://www.mnd.gov.tw/en/informationservices/publication/71953,2026-08-01,facility-centroid,False,False,機場與跑道節點；預設遊戲參數
INV-1785654343599-34,BLUE,北部航空基地群,airport,6,84,16,1,1,1,5,89,69,200,True,INV-1785654343599-34-P3,嘉義航空基地（公開設施中心點）,23.4618,120.3928,2.0,2.0,BLUE-CHIAYI,https://www.mnd.gov.tw/File/41892,2026-08-01,facility-centroid,False,False,機場與跑道節點；預設遊戲參數
INV-1785654343599-35,BLUE,區域預警雷達站,radarStation,8,88,18,1,1,2,4,93,84,450,True,INV-1785654343599-35-P1,北部區域遊戲推定點,25.033,121.5654,4.0,4.0,BLUE-TAIPEI,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,固定與機動感測節點；預設遊戲參數
INV-1785654343599-35,BLUE,區域預警雷達站,radarStation,8,88,18,1,1,2,4,93,84,450,True,INV-1785654343599-35-P2,中部區域遊戲推定點,24.1477,120.6736,4.0,4.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,固定與機動感測節點；預設遊戲參數
INV-1785654343599-36,BLUE,聯合作戰基地,base,10,85,20,1,1,2,5,91,78,150,True,INV-1785654343599-36-P1,高雄左營公開港區中心點,22.6997,120.2869,5.0,5.0,BLUE-ZUOYING,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,指揮、維修與集結設施；預設遊戲參數
INV-1785654343599-36,BLUE,聯合作戰基地,base,10,85,20,1,1,2,5,91,78,150,True,INV-1785654343599-36-P2,中部區域遊戲推定點,24.1477,120.6736,5.0,5.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,指揮、維修與集結設施；預設遊戲參數
INV-1785654343599-37,BLUE,備援電力節點,powerPlant,8,90,15,1,1,2,4,92,66,100,True,INV-1785654343599-37-P1,北部區域遊戲推定點,25.033,121.5654,3.0,3.0,BLUE-TAIPEI,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,電廠與分散式電力設施；預設遊戲參數
INV-1785654343599-37,BLUE,備援電力節點,powerPlant,8,90,15,1,1,2,4,92,66,100,True,INV-1785654343599-37-P2,中部區域遊戲推定點,24.1477,120.6736,3.0,3.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,電廠與分散式電力設施；預設遊戲參數
INV-1785654343599-37,BLUE,備援電力節點,powerPlant,8,90,15,1,1,2,4,92,66,100,True,INV-1785654343599-37-P3,南部區域遊戲推定點,22.6273,120.3014,2.0,2.0,BLUE-KAOHSIUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,電廠與分散式電力設施；預設遊戲參數
INV-1785654343599-38,BLUE,機動防禦陣地,position,18,86,20,2,2,3,3,89,67,80,True,INV-1785654343599-38-P1,北部區域遊戲推定點,25.033,121.5654,6.0,6.0,BLUE-TAIPEI,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,防護與分散部署物件；預設遊戲參數
INV-1785654343599-38,BLUE,機動防禦陣地,position,18,86,20,2,2,3,3,89,67,80,True,INV-1785654343599-38-P2,中部區域遊戲推定點,24.1477,120.6736,6.0,6.0,BLUE-TAICHUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,防護與分散部署物件；預設遊戲參數
INV-1785654343599-38,BLUE,機動防禦陣地,position,18,86,20,2,2,3,3,89,67,80,True,INV-1785654343599-38-P3,南部區域遊戲推定點,22.6273,120.3014,6.0,6.0,BLUE-KAOHSIUNG,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,防護與分散部署物件；預設遊戲參數
INV-1785654343599-39,RED,沿岸航空基地群,airport,9,85,18,1,1,2,5,90,74,200,True,INV-1785654343599-39-P1,福州長樂國際機場（公開設施中心點）,25.9351,119.6633,3.0,3.0,RED-FUZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,機場與跑道節點；預設遊戲參數
INV-1785654343599-39,RED,沿岸航空基地群,airport,9,85,18,1,1,2,5,90,74,200,True,INV-1785654343599-39-P2,廈門高崎國際機場（公開設施中心點）,24.544,118.1277,3.0,3.0,RED-XIAMEN-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,機場與跑道節點；預設遊戲參數
INV-1785654343599-39,RED,沿岸航空基地群,airport,9,85,18,1,1,2,5,90,74,200,True,INV-1785654343599-39-P3,泉州晉江機場（公開設施中心點）,24.7964,118.589,3.0,3.0,RED-QUANZHOU-AIR,https://www.openstreetmap.org/copyright,2026-08-01,facility-centroid,False,False,機場與跑道節點；預設遊戲參數
INV-1785654343599-40,RED,沿岸遠程雷達站,radarStation,10,89,20,1,1,2,4,93,86,450,True,INV-1785654343599-40-P1,福州區域遊戲推定點,26.0745,119.2965,5.0,5.0,RED-FUZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,固定與機動感測節點；預設遊戲參數
INV-1785654343599-40,RED,沿岸遠程雷達站,radarStation,10,89,20,1,1,2,4,93,86,450,True,INV-1785654343599-40-P2,溫州區域遊戲推定點,27.9938,120.6994,5.0,5.0,RED-WENZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,固定與機動感測節點；預設遊戲參數
INV-1785654343599-41,RED,聯合指揮基地,base,12,86,22,1,1,2,5,91,76,150,True,INV-1785654343599-41-P1,福州區域遊戲推定點,26.0745,119.2965,6.0,6.0,RED-FUZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,指揮、維修與集結設施；預設遊戲參數
INV-1785654343599-41,RED,聯合指揮基地,base,12,86,22,1,1,2,5,91,76,150,True,INV-1785654343599-41-P2,廈門區域遊戲推定點,24.4798,118.0894,6.0,6.0,RED-XIAMEN-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,指揮、維修與集結設施；預設遊戲參數
INV-1785654343599-42,RED,區域電力保障節點,powerPlant,10,90,16,1,1,2,4,92,75,100,True,INV-1785654343599-42-P1,福州區域遊戲推定點,26.0745,119.2965,5.0,5.0,RED-FUZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,電廠與備援供電設施；預設遊戲參數
INV-1785654343599-42,RED,區域電力保障節點,powerPlant,10,90,16,1,1,2,4,92,75,100,True,INV-1785654343599-42-P2,廈門區域遊戲推定點,24.4798,118.0894,5.0,5.0,RED-XIAMEN-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,電廠與備援供電設施；預設遊戲參數
INV-1785654343599-43,RED,沿岸防護陣地,position,22,87,22,2,2,4,3,90,67,80,True,INV-1785654343599-43-P1,福州區域遊戲推定點,26.0745,119.2965,8.0,8.0,RED-FUZHOU-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,防護與火力支援物件；預設遊戲參數
INV-1785654343599-43,RED,沿岸防護陣地,position,22,87,22,2,2,4,3,90,67,80,True,INV-1785654343599-43-P2,廈門區域遊戲推定點,24.4798,118.0894,7.0,7.0,RED-XIAMEN-REGION,https://www.openstreetmap.org/copyright,2026-08-01,regional-game-inference,False,False,防護與火力支援物件；預設遊戲參數
